stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
300000,"ORIENTAL BLVD/MACKENZIE ST",,  40.578350, -73.940029,,,0,
300002,"ORIENTAL BLVD/JAFFRAY ST",,  40.578066, -73.943029,,,0,
300003,"ORIENTAL BLVD/HASTINGS ST",,  40.577909, -73.944643,,,0,
300004,"ORIENTAL BLVD/FALMOUTH ST",,  40.577718, -73.946200,,,0,
300006,"ORIENTAL BLVD/DOVER ST",,  40.577353, -73.949552,,,0,
300007,"ORIENTAL BLVD/BEAUMONT ST",,  40.577148, -73.951388,,,0,
300008,"ORIENTAL BLVD/WEST END AV",,  40.577003, -73.952724,,,0,
300009,"BRIGHTON BEACH AV/CORBIN PL",,  40.577381, -73.954407,,,0,
300010,"BRIGHTON BEACH AV/BRIGHTON 14 ST",,  40.577957, -73.956381,,,0,
300011,"BRIGHTON BEACH AV/BRIGHTON 12 ST",,  40.578369, -73.958173,,,0,
300012,"BRIGHTON BEACH AV/CONEY ISLAND AV",,  40.577968, -73.960253,,,0,
300013,"BRIGHTON BEACH AV/BRIGHTON 5 ST",,  40.577402, -73.962835,,,0,
300014,"BRIGHTON BEACH AV/BRIGHTON 3 ST",,  40.577035, -73.964603,,,0,
300016,"BRIGHTON BEACH AV/OCEAN PKWY",,  40.576421, -73.967439,,,0,
300017,"OCEAN PKWY/OCEAN VIEW AV",,  40.578740, -73.967853,,,0,
300018,"OCEAN PKWY/NEPTUNE AV",,  40.580219, -73.967568,,,0,
300019,"OCEAN PKWY/WEST AV",,  40.581414, -73.967253,,,0,
300020,"OCEAN PKWY/SHORE PKWY",,  40.585483, -73.966323,,,0,
300022,"AVENUE X/E 2 ST",,  40.590771, -73.968783,,,0,
300023,"AVENUE X/WEST ST",,  40.590563, -73.970630,,,0,
300025,"AVENUE X/McDONALD AV",,  40.590190, -73.974001,,,0,
300026,"86 ST/VAN SICKLEN ST",,  40.591307, -73.976136,,,0,
300028,"86 ST/W 9 ST",,  40.593826, -73.980239,,,0,
300029,"86 ST/W 11 ST",,  40.595116, -73.982378,,,0,
300030,"86 ST/AVENUE U",,  40.595739, -73.983411,,,0,
300031,"86 ST/STILLWELL AV",,  40.596791, -73.985195,,,0,
300032,"86 ST/25 AV",,  40.597875, -73.987055,,,0,
300033,"86 ST/24 AV",,  40.599207, -73.989229,,,0,
300034,"86 ST/23 AV",,  40.600524, -73.991422,,,0,
300035,"86 ST/BAY PKWY",,  40.601880, -73.993637,,,0,
300036,"86 ST/21 AV",,  40.603239, -73.995905,,,0,
300037,"86 ST/20 AV",,  40.604568, -73.998095,,,0,
300038,"86 ST/19 AV",,  40.605899, -74.000299,,,0,
